id,query
1,Suggest a quick vegan breakfast recipe
2,I have chicken and rice. what can I cook?
3,Give me a dessert recipe with chocolate 
4,I am preparing dinner for a large group (12 people). All of them eat meat but two of them dislike seafood, what can I make that features a protein without blowing my budget of $13 per person?
5,"I do not like chiles, how can I make a flavorful salsa?"
6,"I just got a new grill; what is a good lamb-forward dinner that I can make?"
7,"Are you familiar with chimchurri sauce? Help me feature it for dinner? One member hates cilantro though :("
8,"Please give me a 20 min or less food prep lunch for this week. I will need to prepare 4 lunches from this cooking session
9,"I am a complete beginner, but I want impress my cousins by making breakfast, please help!?"
10,"I am allergic to nuts, but I want to feature a pesto on my pasta, how can I do that?"
11,"Very hungry, I need lots of calories quickly. I have ground beef and texas toast, help me make dinner fast!"
12,"I am babysitting a picky 5-yr old (no known allergies). Help me make lunch."
13,"Okay, now is my time to shine. I want to make creme brulee without a blow torch. Let's do it!"
14,"My Vietnamese-Cajun restaurant is opening in two months; what can I make that will be appealing on Tik-Tok and to customers?"
15,"Please describe Moroccan food and maybe how to make it."